table_name,column_name,description
Deals,ARR,Decimal Annual Recurring Revenue, can be NULL.
Deals,ACV,Decimal Annual Contract Value, can be NULL.
Deals,lostReason,Reason why the deal was lost, can be NULL.
Deals,archiveStatus,Status of archive operation, can be NULL.
Deals,probability,Integer probability percentage of closing, defaults to 0.
Deals,stage,Current stage name, can be NULL.
Deals,proposalValueCurrency,Currency code for proposal value, defaults to 'INR'.
Deals,valueCurrency,Currency code for deal value, defaults to 'INR'.
Deals,isConvertedToLead,Boolean flag whether deal was converted to lead, defaults to 0.
Deals,convertedToLeadAt,Timestamp when converted to lead, can be NULL.
Deals,convertedToLeadBy,Numeric identifier of user who converted to lead, can be NULL.
Deals,createdAt,Timestamp when this record was created, can be NULL.
Deals,updatedAt,Timestamp when this record was last modified, can be NULL.
Deals,isDummyData,Boolean flag indicating whether this is test data.
Deals,visibilityGroupId,Numeric identifier of visibility group, can be NULL.
DealStageHistories,dealsStageId,Unique numeric primary key for deal stage history record.
DealStageHistories,dealId,Numeric identifier of the deal this stage change belongs to.
DealStageHistories,stageName,Name of the stage entered.
DealStageHistories,enteredAt,Timestamp when the deal entered this stage.
DefaultEmails,id,Unique numeric primary key.
DefaultEmails,masterUserID,Numeric identifier of the user who owns this default email setting.
DefaultEmails,email,Email address of the default sender account.
DefaultEmails,appPassword,Application password for the email account.
DefaultEmails,senderName,Display name of the sender, can be NULL.
DefaultEmails,isDefault,Boolean flag whether this is the default email account, defaults to 0.
DefaultEmails,provider,Email provider name, can be NULL.
DefaultEmails,createdAt,Timestamp when this record was created.
DefaultEmails,updatedAt,Timestamp when this record was last modified.
Departments,departmentId,Unique numeric primary key for department.
Departments,department_desc,Description or name of the department.
Departments,createdBy,Name of the user who created this record.
Departments,createdById,Numeric identifier of the user who created this record.
Departments,mode,String indicating operation mode context, can be NULL.
Departments,creationDate,Timestamp when this department record was created.
Departments,createdAt,Timestamp when this record was created.
Departments,updatedAt,Timestamp when this record was last modified.
Designations,designationId,Unique numeric primary key for designation.
Designations,designation_desc,Description or name of the job designation.
Designations,createdBy,Name of the user who created this record.
Designations,createdById,Numeric identifier of the user who created this record.
Designations,mode,String indicating operation mode context, can be NULL.
Designations,creationDate,Timestamp when this designation record was created.
Designations,createdAt,Timestamp when this record was created.
Designations,updatedAt,Timestamp when this record was last modified.
DeviceActivities,id,Unique numeric primary key.
DeviceActivities,device,"Name or identifier of the device used, can be NULL."
DeviceActivities,Location,Geographic location of the device, can be NULL.
DeviceActivities,ipAddress,IP address of the device, can be NULL.
DeviceActivities,loginTime,"Timestamp or string of login time, can be NULL."
DeviceActivities,loginVia,"Method used for login such as web or mobile, can be NULL."
DeviceActivities,loginOut,"Timestamp or string of logout time, can be NULL."
DeviceActivities,isActive,Boolean flag indicating activity status, can be NULL.
DeviceActivities,createdAt,Timestamp when this record was created.
DeviceActivities,updatedAt,Timestamp when this record was last modified.
Emails,emailID,Unique numeric primary key for email record.
Emails,messageId,Message ID header of the email, can be NULL.
Emails,inReplyTo,Message ID this email replies to, can be NULL.
Emails,sender,Email address of the sender.
Emails,senderName,Display name of the sender, can be NULL.
Emails,recipient,Longtext field storing recipient email addresses, can be NULL.
Emails,recipientName,Longtext field storing recipient names, can be NULL.
Emails,subject,Longtext subject line of the email, can be NULL.
Emails,body,Longtext body content of the email, can be NULL.
Emails,folder,"Enum value indicating email folder: inbox, drafts, outbox, sent, archive, or trash, defaults to 'inbox'."
Emails,isRead,Boolean flag whether the email has been read, defaults to 0.
Emails,createdAt,Timestamp when this record was created, can be NULL.
Emails,updatedAt,Timestamp when this record was last modified, can be NULL.
Emails,cc,Longtext field storing CC recipients, can be NULL.
Emails,bcc,Longtext field storing BCC recipients, can be NULL.
Emails,references,Text field storing email reference headers, can be NULL.
Emails,masterUserID,Numeric identifier of the user who owns this email.
Emails,draftId,Text identifier for email draft, can be NULL.
Emails,isDraft,Boolean flag whether this is a draft email, defaults to 1.
Emails,isOpened,Boolean flag whether the email has been opened, defaults to 0.
Emails,isClicked,Boolean flag whether a link in the email was clicked, defaults to 0.
Emails,tempMessageId,Temporary message identifier, can be NULL.
Emails,scheduledAt,Timestamp when the email is scheduled to be sent, can be NULL.
Emails,threadId,Thread identifier for email conversations, can be NULL.
Emails,uid,Unique identifier from email server, can be NULL.
Emails,body_fetch_status,"Enum value indicating body fetch status: pending, completed, or failed, defaults to 'pending'."
Emails,leadId,Numeric identifier of associated lead, can be NULL.
Emails,dealId,Numeric identifier of associated deal, can be NULL.
Emails,visibility,"Enum value indicating email visibility: shared or private, defaults to 'shared'."
Emails,userEmail,Email address of the user, can be NULL.
Emails,labelId,Numeric identifier of associated label, can be NULL.
Emails,lastError,Text field storing last error message, can be NULL.
EmailTemplates,templateId,Unique numeric primary key for email template.
EmailTemplates,templateName,Name of the email template.
EmailTemplates,subject,Subject line of the template.
EmailTemplates,body,Longtext body content of the template.
EmailTemplates,createdBy,Numeric identifier of the user who created this template.
EmailTemplates,createdAt,Timestamp when this record was created.
EmailTemplates,updatedAt,Timestamp when this record was last modified.
EntityFiles,fileId,Unique numeric primary key for entity file record.
EntityFiles,entityId,Numeric identifier of the entity this file belongs to.
EntityFiles,entityType,"Enum value indicating entity type: person or organization."
EntityFiles,fileName,Original name of the file.
EntityFiles,fileDisplayName,Display name shown to users for this file, can be NULL.
EntityFiles,filePath,Storage path or URL where the file is located.
EntityFiles,fileSize,Size of the file in bytes.
EntityFiles,mimeType,MIME type of the file.
EntityFiles,fileExtension,"File extension such as .pdf or .docx, can be NULL."
EntityFiles,fileCategory,"Enum value categorizing the file type, defaults to 'document'."
EntityFiles,description,Text description of the file content, can be NULL.
EntityFiles,tags,Longtext field storing tags associated with the file, can be NULL.
EntityFiles,isPublic,Boolean flag whether the file is publicly accessible, defaults to 0.
EntityFiles,uploadedBy,Numeric identifier of the user who uploaded this file.
EntityFiles,lastAccessedAt,Timestamp when the file was last accessed, can be NULL.
EntityFiles,downloadCount,Numeric count of downloads, defaults to 0.
EntityFiles,version,Numeric version number of this file, defaults to 1.
EntityFiles,previousVersionId,Numeric identifier of the previous version, can be NULL.
EntityFiles,isActive,Boolean flag whether this file record is active, defaults to 1.
EntityFiles,masterUserID,Numeric identifier of the user who owns this file record.
EntityFiles,createdAt,Timestamp when this record was created, can be NULL.
EntityFiles,updatedAt,Timestamp when this record was last modified, can be NULL.
Goals,goalId,Unique numeric primary key for goal record.
Goals,dashboardId,Numeric identifier of the dashboard this goal belongs to, can be NULL.
Goals,entity,"Entity type this goal applies to such as deal or lead."
Goals,goalType,"Type or category of the goal."
Goals,targetValue,Decimal target value to achieve.
Goals,targetType,Type of target measurement, defaults to 'number'.
Goals,period,"Time period for the goal such as monthly or quarterly, defaults to 'monthly'."
Goals,startDate,Timestamp when the goal period starts.
Goals,endDate,Timestamp when the goal period ends, can be NULL.
Goals,description,Text description of the goal, can be NULL.
Goals,assignee,Name of the user assigned to this goal, can be NULL.
Goals,assignId,Identifier of the assigned user, can be NULL.
Goals,pipeline,Pipeline name for pipeline-specific goals, can be NULL.
Goals,pipelineStage,Pipeline stage for stage-specific goals, can be NULL.
Goals,activityType,Activity type for activity-specific goals, can be NULL.
Goals,trackingMetric,Metric used to track progress, defaults to 'Count'.
Goals,count,Numeric count value for the goal, can be NULL.
Goals,value,Decimal value for the goal, can be NULL.
Goals,position,Numeric position for display order, defaults to 0.
Goals,isActive,Boolean flag whether the goal is active, defaults to 1.
Goals,ownerId,Numeric identifier of the user who owns this goal.
Goals,colors,Longtext field storing color configuration for the goal, can be NULL.
Goals,graphType,Type of graph to display, defaults to 'bar'.
Goals,config,Longtext field storing additional goal configuration, can be NULL.
Goals,createdAt,Timestamp when this record was created.
Goals,updatedAt,Timestamp when this record was last modified.
GroupMemberships,membershipId,Unique numeric primary key for group membership.
GroupMemberships,groupId,Numeric identifier of the group.
GroupMemberships,userId,Numeric identifier of the user who is a member.
GroupMemberships,masterUserID,Numeric identifier of the user who owns this membership record.
GroupMemberships,assignedBy,Numeric identifier of the user who assigned this membership.
GroupMemberships,isActive,Boolean flag whether this membership is active, defaults to 1.
GroupMemberships,joinedAt,Timestamp when the user joined the group, can be NULL.
GroupMemberships,createdAt,Timestamp when this record was created.
GroupMemberships,updatedAt,Timestamp when this record was last modified.
GroupVisibilities,groupId,Unique numeric primary key for visibility group.
GroupVisibilities,groupName,Name of the visibility group.
GroupVisibilities,description,Text description of the group, can be NULL.
GroupVisibilities,isDefault,Boolean flag whether this is the default group, defaults to 0.
GroupVisibilities,isActive,Boolean flag whether this group is active, defaults to 1.
GroupVisibilities,pipelineIds,String listing pipeline IDs associated with this group, can be NULL.
GroupVisibilities,lead,"Enum value for lead visibility: owner, visibilitygroup, or everyone, can be NULL."
GroupVisibilities,deal,"Enum value for deal visibility: owner, visibilitygroup, or everyone, can be NULL."
GroupVisibilities,person,"Enum value for person visibility: owner, visibilitygroup, or everyone, can be NULL."
GroupVisibilities,Organization,"Enum value for organization visibility: owner, visibilitygroup, or everyone, can be NULL."
GroupVisibilities,memberIds,String listing member user IDs, can be NULL.
GroupVisibilities,parentGroupId,Numeric identifier of parent group, can be NULL.
GroupVisibilities,createdBy,Numeric identifier of the user who created this group, can be NULL.
GroupVisibilities,createdAt,Timestamp when this record was created.
GroupVisibilities,updatedAt,Timestamp when this record was last modified.
GroupVisibilities,personId,Numeric identifier of person, can be NULL.
GroupVisibilities,leadOrganizationId,Numeric identifier of lead organization, can be NULL.
GroupVisibilities,leadId,Numeric identifier of lead, can be NULL.
GroupVisibilities,dealId,Numeric identifier of deal, can be NULL.
GroupVisibilities,pipelineId,Numeric identifier of pipeline, can be NULL.
Histories,id,Unique numeric primary key.
Histories,programId,Numeric identifier of the program.
Histories,mode,String indicating operation mode.
Histories,createdById,Numeric identifier of the user who created this history record, can be NULL.
Histories,recordId,Numeric identifier of the changed record, can be NULL.
Histories,modifiedBy,Numeric identifier of the user who made the modification, can be NULL.
Histories,description,Text description of the change, can be NULL.
Histories,changes,Longtext field storing details of field-level changes, can be NULL.
Histories,timestamp,Timestamp of the change event, can be NULL.
Histories,createdAt,Timestamp when this record was created.
Histories,updatedAt,Timestamp when this record was last modified.
ImportDatas,importId,Unique numeric primary key for import session.
ImportDatas,masterUserID,Numeric identifier of the user who performed the import.
ImportDatas,sessionId,String session identifier for this import.
ImportDatas,originalFileName,Original name of the uploaded file.
ImportDatas,filePath,Storage path of the uploaded file.
ImportDatas,fileSize,Size of the file in bytes, can be NULL.
ImportDatas,fileType,"Enum value indicating file type: csv, xlsx, or xls."
ImportDatas,entityType,"Enum value indicating entity type being imported, such as lead, deal, person, organization, or activity."
ImportDatas,columnMapping,Longtext field storing column mapping configuration, can be NULL.
ImportDatas,importOptions,Longtext field storing import option settings, can be NULL.
ImportDatas,totalRows,Numeric total number of rows in the file, can be NULL.
ImportDatas,validRows,Numeric count of valid rows, can be NULL.
ImportDatas,invalidRows,Numeric count of invalid rows, can be NULL.
ImportDatas,status,"Enum value indicating import status: uploaded, analyzing, mapping, validating, importing, completed, failed, or cancelled, defaults to 'uploaded'."
ImportDatas,progress,Decimal percentage of import progress, defaults to 0.00.
ImportDatas,processedRows,Numeric count of processed rows, defaults to 0.
ImportDatas,successfulImports,Numeric count of successfully imported records, defaults to 0.
ImportDatas,failedImports,Numeric count of failed imports, defaults to 0.
ImportDatas,duplicatesSkipped,Numeric count of duplicate records skipped, defaults to 0.
ImportDatas,errorLog,Longtext field storing error log, can be NULL.
ImportDatas,validationErrors,Longtext field storing validation error details, can be NULL.
ImportDatas,errorFilePath,Storage path for error file, can be NULL.
ImportDatas,startedAt,Timestamp when import started, can be NULL.
ImportDatas,completedAt,Timestamp when import completed, can be NULL.
ImportDatas,previewData,Longtext field storing preview of imported data, can be NULL.
ImportDatas,columnHeaders,Longtext field storing column header information, can be NULL.
ImportDatas,createdAt,Timestamp when this record was created.
ImportDatas,updatedAt,Timestamp when this record was last modified.
ItemVisibilityRules,ruleId,Unique numeric primary key for visibility rule.
ItemVisibilityRules,groupId,Numeric identifier of the group this rule applies to.
ItemVisibilityRules,entityType,"Enum value indicating entity type: leads, deals, people, organizations, products, or activities."
ItemVisibilityRules,masterUserID,Numeric identifier of the user who owns this rule.
ItemVisibilityRules,defaultVisibility,"Enum value for default visibility, defaults to 'item_owners_visibility_group'."
ItemVisibilityRules,canCreate,Boolean flag whether group can create items, defaults to 1.
ItemVisibilityRules,canView,Boolean flag whether group can view items, defaults to 1.
ItemVisibilityRules,canEdit,Boolean flag whether group can edit items, defaults to 1.
ItemVisibilityRules,canDelete,Boolean flag whether group can delete items, defaults to 0.
ItemVisibilityRules,canExport,Boolean flag whether group can export items, defaults to 0.
ItemVisibilityRules,canBulkEdit,Boolean flag whether group can bulk edit items, defaults to 0.
ItemVisibilityRules,isActive,Boolean flag whether this rule is active, defaults to 1.
ItemVisibilityRules,createdBy,Numeric identifier of the user who created this rule.
ItemVisibilityRules,updatedBy,Numeric identifier of the user who last updated this rule, can be NULL.
ItemVisibilityRules,createdAt,Timestamp when this record was created.
ItemVisibilityRules,updatedAt,Timestamp when this record was last modified.
Labels,labelId,Unique numeric primary key for label.
Labels,labelName,Name of the label.
Labels,labelColor,Color code for the label, defaults to '#007bff'.
Labels,entityType,"Enum value indicating which entity types this label applies to, such as lead, deal, person, organization, or all, defaults to 'all'."
Labels,description,Text description of the label, can be NULL.
Labels,isActive,Boolean flag whether this label is active, defaults to 1.
Labels,createdBy,Name of the user who created this label.
Labels,createdById,Numeric identifier of the user who created this label.
Labels,updatedBy,Name of the user who last updated this label, can be NULL.
Labels,updatedById,Numeric identifier of the user who last updated this label, can be NULL.
Labels,mode,String indicating operation mode context, can be NULL.
Labels,creationDate,Timestamp when this label was created.
Labels,updatedDate,Timestamp when this label was last updated, can be NULL.
Labels,createdAt,Timestamp when this record was created.
Labels,updatedAt,Timestamp when this record was last modified.
LeadColumnPreferences,id,Unique numeric primary key.
LeadColumnPreferences,masterUserID,Numeric user identifier who owns these column preferences, can be NULL.
LeadColumnPreferences,columns,Longtext field storing column visibility and display order preferences.
LeadColumnPreferences,createdAt,Timestamp when this record was created.
LeadColumnPreferences,updatedAt,Timestamp when this record was last modified.
LeadColumns,leadColumnId,Unique numeric primary key for lead column definition.
LeadColumns,leadColumn_desc,Description of the lead column.
LeadColumns,createdBy,Name of the user who created this column.
LeadColumns,createdById,Numeric identifier of the user who created this column.
LeadColumns,mode,String indicating operation mode context, can be NULL.
LeadColumns,creationDate,Timestamp when this column was created.
LeadColumns,createdAt,Timestamp when this record was created.
LeadColumns,updatedAt,Timestamp when this record was last modified.
LeadDetails,leadDetailsId,Unique numeric primary key for lead detail record.
LeadDetails,leadId,Numeric identifier of the lead this detail belongs to.
LeadDetails,RFP_receivedDate,Timestamp when RFP was received, can be NULL.
LeadDetails,statusSummary,Brief summary of lead status, can be NULL.
LeadDetails,responsibleId,Numeric identifier of the responsible person, can be NULL.
LeadDetails,responsiblePerson,Name of the person responsible for this lead, can be NULL.
LeadDetails,organizationName,Name of the organization associated with this lead, can be NULL.
LeadDetails,source,Source of the lead, can be NULL.
LeadDetails,sourceOrgin,Origin source of the lead, can be NULL.
LeadDetails,personName,Name of the contact person, can be NULL.
LeadDetails,notes,Text notes about the lead, can be NULL.
LeadDetails,postalAddress,Postal address of the lead, can be NULL.
LeadDetails,birthday,Timestamp of the contact's birthday, can be NULL.
LeadDetails,jobTitle,Job title of the contact person, can be NULL.
LeadDetails,sourceOriginID,Identifier of the source origin, can be NULL.
LeadDetails,currency,Currency code for lead values, can be NULL.
LeadDetails,nextActivityDate,Timestamp of the next scheduled activity, can be NULL.
LeadDetails,nextActivityStatus,Status of the next scheduled activity, can be NULL.
LeadDetails,address,Physical address of the lead, can be NULL.
LeadDetails,createdAt,Timestamp when this record was created.
LeadDetails,updatedAt,Timestamp when this record was last modified.
LeadFilters,filterId,Unique numeric primary key for lead filter.
LeadFilters,filterName,Name of the saved filter.
LeadFilters,filterConfig,Longtext field storing filter configuration criteria.
LeadFilters,visibility,Visibility setting of the filter, defaults to 'Private'.
LeadFilters,masterUserID,Numeric identifier of the user who owns this filter.
LeadFilters,columns,Longtext field storing column preferences for this filter, can be NULL.
LeadFilters,filterEntityType,"Enum value indicating entity type this filter applies to, such as lead, deal, person, organization, activity, or product, defaults to 'lead'."
LeadFilters,isFavorite,Boolean flag whether this filter is marked as favorite, defaults to 0.
LeadFilters,createdAt,Timestamp when this record was created.
LeadFilters,updatedAt,Timestamp when this record was last modified.
LeadNotes,noteId,Unique numeric primary key for lead note record.
LeadNotes,leadId,Numeric identifier of the lead this note belongs to.
LeadNotes,masterUserID,Numeric identifier of the user who owns this note.
LeadNotes,content,Longtext content of the note.
LeadNotes,createdBy,Numeric identifier of the user who created this note.
LeadNotes,createdAt,Timestamp when this record was created.
LeadNotes,updatedAt,Timestamp when this record was last modified.
LeadOrganizations,leadOrganizationId,Unique numeric primary key for lead organization.
LeadOrganizations,organization,Name of the organization.
LeadOrganizations,organizationLabels,Labels associated with the organization, can be NULL.
LeadOrganizations,address,Physical address of the organization, can be NULL.
LeadOrganizations,visibleTo,Visibility setting for this organization, can be NULL.
LeadOrganizations,masterUserID,Numeric identifier of the user who owns this organization record.
LeadOrganizations,ownerId,Numeric identifier of the organization owner, can be NULL.
LeadOrganizations,ownerName,Name of the organization owner, can be NULL.
LeadOrganizations,wonDeals,Numeric count of won deals associated with this organization, defaults to 0.
LeadOrganizations,lostDeals,Numeric count of lost deals associated with this organization, defaults to 0.
LeadOrganizations,openDeals,Numeric count of open deals associated with this organization, defaults to 0.
LeadOrganizations,peopleCount,Numeric count of people associated with this organization, defaults to 0.
LeadOrganizations,lastActivityDate,Timestamp of the last activity, can be NULL.
LeadOrganizations,nextActivityDate,Timestamp of the next scheduled activity, can be NULL.
LeadOrganizations,doneActivitiesCount,Numeric count of completed activities, defaults to 0.
LeadOrganizations,totalActivitiesCount,Numeric count of total activities, defaults to 0.
LeadOrganizations,activitiesTodoCount,Numeric count of pending activities, defaults to 0.
LeadOrganizations,createdAt,Timestamp when this record was created.
LeadOrganizations,updatedAt,Timestamp when this record was last modified.
LeadPersons,personId,Unique numeric primary key for lead person.
LeadPersons,leadOrganizationId,Numeric identifier of the organization this person belongs to, can be NULL.
LeadPersons,contactPerson,Name of the contact person, can be NULL.
LeadPersons,email,Email address of the person, can be NULL.
LeadPersons,phone,Phone number of the person, can be NULL.
LeadPersons,notes,Text notes about the person, can be NULL.
LeadPersons,postalAddress,Postal address of the person, can be NULL.
LeadPersons,birthday,Timestamp of the person's birthday, can be NULL.
LeadPersons,jobTitle,Job title of the person, can be NULL.
LeadPersons,personLabels,Labels associated with the person, can be NULL.
LeadPersons,organization,Name of the organization, can be NULL.
LeadPersons,masterUserID,Numeric identifier of the user who owns this person record.
LeadPersons,ownerId,Numeric identifier of the person record owner, can be NULL.
LeadPersons,emails,Longtext field storing multiple email addresses, can be NULL.
LeadPersons,phones,Longtext field storing multiple phone numbers, can be NULL.
LeadPersons,ownerName,Name of the record owner, can be NULL.
LeadPersons,wonDeals,Numeric count of won deals associated with this person, defaults to 0.
LeadPersons,lostDeals,Numeric count of lost deals associated with this person, defaults to 0.
LeadPersons,openDeals,Numeric count of open deals associated with this person, defaults to 0.
LeadPersons,peopleCount,Numeric count of associated people, defaults to 0.
LeadPersons,lastActivityDate,Timestamp of the last activity, can be NULL.
LeadPersons,nextActivityDate,Timestamp of the next scheduled activity, can be NULL.
LeadPersons,doneActivitiesCount,Numeric count of completed activities, defaults to 0.
LeadPersons,totalActivitiesCount,Numeric count of total activities, defaults to 0.
LeadPersons,activitiesTodoCount,Numeric count of pending activities, defaults to 0.
LeadPersons,marketingStatus,"Enum value for marketing subscription status: Subscribed, Unsubscribed, or Archived, defaults to 'Subscribed'."
LeadPersons,createdAt,Timestamp when this record was created.
LeadPersons,updatedAt,Timestamp when this record was last modified.
Leads,leadId,Unique numeric primary key for lead record.
Leads,personId,Numeric identifier of the associated person, can be NULL.
Leads,leadOrganizationId,Numeric identifier of the associated organization, can be NULL.
Leads,contactPerson,Name of the contact person, can be NULL.
Leads,organization,Name of the organization, can be NULL.
Leads,title,Title or name of the lead, can be NULL.
Leads,valueLabels,Labels for lead value, can be NULL.
Leads,expectedCloseDate,Timestamp when the lead is expected to close, can be NULL.
Leads,sourceChannel,Source channel of the lead, can be NULL.
Leads,sourceChannelID,Identifier of the source channel, can be NULL.
Leads,serviceType,Type of service requested, can be NULL.
Leads,scopeOfServiceType,Scope of service type, can be NULL.
Leads,phone,Phone number associated with the lead, can be NULL.
Leads,email,Email address associated with the lead, can be NULL.
Leads,company,Company name associated with the lead, can be NULL.
Leads,proposalValue,Decimal value of the proposal, can be NULL.
Leads,esplProposalNo,Proposal number from ESPL system, can be NULL.
Leads,projectLocation,Location of the project, can be NULL.
Leads,organizationCountry,Country of the organization, can be NULL.
Leads,proposalSentDate,Timestamp when proposal was sent, can be NULL.
Leads,status,Current status of the lead, can be NULL.
Leads,masterUserID,Numeric identifier of the user who owns this lead.
Leads,isArchived,Boolean flag whether the lead is archived, defaults to 0.
Leads,archiveTime,Timestamp when the lead was archived, can be NULL.
Leads,questionShared,Boolean flag whether questioner was shared, defaults to 0.
Leads,ownerId,Numeric identifier of the lead owner, can be NULL.
Leads,ownerName,Name of the lead owner, can be NULL.
Leads,createdAt,Timestamp when this record was created, can be NULL.
Leads,updatedAt,Timestamp when this record was last modified, can be NULL.
Leads,SBUClass,Strategic Business Unit class, can be NULL.
Leads,numberOfReportsPrepared,Numeric count of reports prepared, can be NULL.
Leads,sectoralSector,Sector classification, can be NULL.
Leads,seen,Boolean flag whether the lead has been viewed, defaults to 0.
Leads,visibleTo,Visibility setting for this lead, can be NULL.
Leads,sourceOrigin,Origin source of the lead, can be NULL.
Leads,dealId,Numeric identifier of associated deal, can be NULL.
Leads,sourceOriginID,Identifier of the source origin, can be NULL.
Leads,leadQuality,Quality rating of the lead, can be NULL.
Leads,isQualified,Boolean flag whether the lead is qualified, defaults to 0.
Leads,qualificationDate,Timestamp when the lead was qualified, can be NULL.
Leads,conversionDate,Timestamp when the lead was converted, can be NULL.
Leads,value,Decimal value of the lead, can be NULL.
Leads,proposalValueCurrency,Currency code for proposal value, defaults to 'INR'.
Leads,valueCurrency,Currency code for lead value, defaults to 'INR'.
Leads,visibilityLevel,"Enum value for visibility level, defaults to 'item_owners_visibility_group'."
Leads,visibilityGroupId,Numeric identifier of visibility group, can be NULL.
Leads,visibleGroup,Name of the visible group, can be NULL.
Leads,isDeleted,Boolean flag whether the lead is deleted, can be NULL.
Leads,deletedAt,Timestamp when the lead was deleted, can be NULL.
Leads,isDummyData,Boolean flag indicating whether this is test data.
Leads,deletedBy,Numeric identifier of the user who deleted this lead, can be NULL.
LoginHistories,id,Unique numeric primary key.
LoginHistories,userId,Numeric identifier of the user who logged in.
LoginHistories,device,"Name or identifier of the device used, can be NULL."
LoginHistories,location,Geographic location of the login, can be NULL.
LoginHistories,loginTime,Timestamp when the login occurred, can be NULL.
LoginHistories,ipAddress,IP address of the login request, can be NULL.
LoginHistories,longitude,Longitude coordinate of the login location, can be NULL.
LoginHistories,latitude,Latitude coordinate of the login location, can be NULL.
LoginHistories,loginType,"Enum value indicating user type: admin, general, or master."
LoginHistories,logoutTime,Timestamp when the user logged out, can be NULL.
LoginHistories,duration,String representation of session duration, can be NULL.
LoginHistories,username,Username of the user who logged in, can be NULL.
LoginHistories,totalSessionDuration,String representation of total session time, can be NULL.
LoginHistories,isActive,Boolean flag whether this session is active, defaults to 1.
LoginHistories,createdAt,Timestamp when this record was created.
LoginHistories,updatedAt,Timestamp when this record was last modified.
LostReasons,lostReasonId,Unique numeric primary key for lost reason.
LostReasons,reason,Name or description of the lost reason.
LostReasons,description,Text description of the lost reason, can be NULL.
LostReasons,isActive,Boolean flag whether this reason is active, defaults to 1.
LostReasons,sortOrder,Numeric order for displaying this reason, defaults to 0.
LostReasons,masterUserID,Numeric identifier of the user who owns this reason, can be NULL.
LostReasons,isSystemDefault,Boolean flag whether this is a system default reason, defaults to 0.
LostReasons,createdAt,Timestamp when this record was created.
LostReasons,updatedAt,Timestamp when this record was last modified.
LostReasonSettings,settingId,Unique numeric primary key for lost reason settings.
LostReasonSettings,masterUserID,Numeric identifier of the user these settings belong to, can be NULL.
LostReasonSettings,allowFreeFormReasons,Boolean flag whether free-form reasons are allowed, defaults to 1.
LostReasonSettings,requireReasonSelection,Boolean flag whether reason selection is required, defaults to 1.
LostReasonSettings,isGlobal,Boolean flag whether these settings apply globally, defaults to 0.
LostReasonSettings,createdAt,Timestamp when this record was created.
LostReasonSettings,updatedAt,Timestamp when this record was last modified.
MasterUserPrivileges,privilegeID,Unique numeric primary key for user privileges.
MasterUserPrivileges,masterUserID,Numeric identifier of the user these privileges belong to.
MasterUserPrivileges,permissions,Longtext field storing permission definitions.
MasterUserPrivileges,createdById,Numeric identifier of the user who created this privilege record.
MasterUserPrivileges,createdBy,Name of the user who created this privilege record.
MasterUserPrivileges,mode,String indicating operation mode context, can be NULL.
MasterUserPrivileges,createdAt,Timestamp when this record was created.
MasterUserPrivileges,updatedAt,Timestamp when this record was last modified.
MasterUsers,masterUserID,Unique numeric primary key for user account.
MasterUsers,name,First name of the user.
MasterUsers,email,Email address of the user.
MasterUsers,password,Hashed password for authentication, can be NULL.
MasterUsers,designation,Job designation of the user, can be NULL.
MasterUsers,department,Department of the user, can be NULL.
MasterUsers,creatorId,Numeric identifier of the user who created this account.
MasterUsers,createdBy,Name of the user who created this account.
MasterUsers,status,Account status, defaults to 'active'.
MasterUsers,resetToken,Password reset token, can be NULL.
MasterUsers,resetTokenExpiry,Timestamp when reset token expires, can be NULL.
MasterUsers,loginType,Type of login authentication used.
MasterUsers,otp,"One-time password for two-factor authentication, can be NULL."
MasterUsers,otpExpiration,Timestamp when OTP expires, can be NULL.
MasterUsers,userType,Type of user account.
MasterUsers,mobileNumber,Mobile phone number of the user.
MasterUsers,profileImage,URL or path to profile image, can be NULL.
MasterUsers,bio,Short biography of the user, can be NULL.
MasterUsers,location,Geographic location of the user, can be NULL.
MasterUsers,lastName,Last name of the user, can be NULL.
MasterUsers,isActive,Boolean flag whether the account is active, defaults to 1.
MasterUsers,deactivatedAt,Timestamp when the account was deactivated, can be NULL.
MasterUsers,deactivatedBy,Numeric identifier of the user who deactivated this account, can be NULL.
MasterUsers,deactivationReason,Text reason for account deactivation, can be NULL.
MasterUsers,googleOAuthToken,Text field storing Google OAuth token, can be NULL.
MasterUsers,permissionSetId,Numeric identifier of assigned permission set, can be NULL.
MasterUsers,globalPermissionSetId,Numeric identifier of global permission set, can be NULL.
MasterUsers,groupId,Numeric identifier of user's group, can be NULL.
MasterUsers,twoFactorEnabled,Boolean flag whether two-factor authentication is enabled, defaults to 0.
MasterUsers,twoFactorSecret,Text field storing 2FA secret key, can be NULL.
MasterUsers,twoFactorBackupCodes,Text field storing backup codes, can be NULL.
MasterUsers,twoFactorEnabledAt,Timestamp when 2FA was enabled, can be NULL.
MasterUsers,twoFactorVerificationLinkEnabled,Boolean flag whether verification link is enabled.
MasterUsers,twoFactorVerificationToken,Token for 2FA verification link, can be NULL.
MasterUsers,twoFactorVerificationTokenExpiry,Timestamp when verification token expires, can be NULL.
MasterUsers,defaultCurrency,Default currency code for this user, can be NULL.
MasterUsers,createdAt,Timestamp when this record was created.
MasterUsers,updatedAt,Timestamp when this record was last modified.
Meetings,meetingId,Unique numeric primary key for meeting record.
Meetings,activityId,Numeric identifier of the associated activity.
Meetings,timezone,Timezone for the meeting, defaults to 'UTC'.
Meetings,meetingStatus,"Enum value indicating meeting status: scheduled, confirmed, cancelled, completed, or no_show, defaults to 'scheduled'."
